,precision,recall,f1-score,support
angry,0.6525096525096525,0.7379912663755459,0.6926229508196722,229.0
disgust,0.6260869565217392,0.5603112840466926,0.5913757700205339,257.0
fear,0.5120772946859904,0.48623853211009177,0.4988235294117647,218.0
happy,0.48,0.4682926829268293,0.4740740740740741,205.0
neutral,0.5343915343915344,0.5642458100558659,0.5489130434782609,179.0
sad,0.625,0.6331877729257642,0.6290672451193059,229.0
accuracy,0.577828397873956,0.577828397873956,0.577828397873956,0.577828397873956
macro avg,0.5716775730181528,0.575044558073465,0.5724794354872685,1317.0
weighted avg,0.5764183698925042,0.577828397873956,0.5761843410363415,1317.0
